duration,timestamp,x,value_old,value
241,2011-12-29 7:36,3,0.0031,0.0031
240,2011-12-29 7:40,3,0.0485,0.0485
0,2011-12-29 7:40,1,0.081,0.081
60,2011-12-29 7:41,3,0.0063,0.0063
962,2011-12-29 7:57,3,0.01,0.01
0,2011-12-29 7:57,1,0.1505,0.1505
1022,2011-12-29 8:14,3,0.0036,0.0036
0,2011-12-29 8:14,1,0.0747,0.0747
1382,2011-12-29 8:37,3,0.0097,0.0097
0,2011-12-29 8:37,1,0.0924,0.0924
60,2011-12-29 8:38,3,0.011,0.011
0,2011-12-29 8:38,1,0.081,0.081
60,2011-12-29 8:39,3,0.0287,0.0287
1,2011-12-29 8:39,1,0.5535,0.5535
60,2011-12-29 8:40,3,0.011,0.011
0,2011-12-29 8:40,1,0.0768,0.0768
781,2011-12-29 8:53,3,0.0101,0.0101
0,2011-12-29 8:53,1,0.1281,0.1281
60,2011-12-29 8:54,3,0.0031,0.0031
60,2011-12-29 8:55,3,0.014,0.014
1,2011-12-29 8:55,1,0.0747,0.0747
420,2011-12-29 9:02,3,0.0028,0.0028
661,2011-12-29 9:13,3,0.0055,0.0055
0,2011-12-29 9:13,1,0.1188,0.1188
60,2011-12-29 9:14,3,0.0028,0.0028
125,2011-12-28 0:08,3,0.0055,0.0055
60,2011-12-28 0:09,1,0.0941,0.0941
0,2011-12-28 0:09,3,0.007,0.007
1081,2011-12-28 0:27,1,0.0975,0.0975
1021,2011-12-28 0:44,3,0.0066,0.0066
1,2011-12-28 0:44,1,0.0768,0.0768
60,2011-12-28 0:45,3,0.0032,0.0032
240,2011-12-28 0:49,1,0.0747,0.0747
1803,2011-12-28 1:19,3,0.0028,0.0028
180,2011-12-28 1:22,1,0.0789,0.0789
241,2011-12-28 1:26,3,0.0028,0.0028
1561,2011-12-28 1:52,3,0.0037,0.0037
1,2011-12-28 1:52,1,0.0747,0.0747
60,2011-12-28 1:53,1,0.0768,0.0768
300,2011-12-28 1:58,1,0.0747,0.0747
0,2011-12-28 1:58,3,0.003,0.003
181,2011-12-28 2:01,3,0.0034,0.0034
0,2011-12-28 2:01,1,0.0768,0.0768
901,2011-12-28 2:16,1,0.0747,0.0747
0,2011-12-28 2:16,3,0.004,0.004
60,2011-12-28 2:17,3,0.0066,0.0066
60,2011-12-28 2:18,3,0.0045,0.0045
241,2011-12-28 2:22,3,0.0062,0.0062
60,2011-12-28 2:23,3,0.0051,0.0051
0,2011-12-28 2:23,1,0.165,0.165
60,2011-12-28 2:24,3,0.0062,0.0062
0,2011-12-28 2:24,1,0.0747,0.0747
1382,2011-12-28 2:47,3,0.0028,0.0028
841,2011-12-28 3:01,3,0.0075,0.0075
0,2011-12-28 3:01,1,0.081,0.081
961,2011-12-28 3:17,3,0.0043,0.0043
241,2011-12-28 3:21,3,0.0039,0.0039
481,2011-12-28 3:29,3,0.0035,0.0035
0,2011-12-28 3:29,1,0.0768,0.0768
1622,2011-12-28 3:56,1,0.0747,0.0747
961,2011-12-28 4:12,1,0.083,0.083
0,2011-12-28 4:12,3,0.0056,0.0056
61,2011-12-28 4:13,3,0.0084,0.0084
0,2011-12-28 4:13,1,0.0747,0.0747
781,2011-12-28 4:26,3,0.0137,0.0137
0,2011-12-28 4:26,1,0.0789,0.0789
1381,2011-12-28 4:49,3,0.0033,0.0033
1,2011-12-28 4:49,1,0.0768,0.0768
60,2011-12-28 4:50,1,0.0768,0.0768
0,2011-12-28 4:50,3,0.0117,0.0117
661,2011-12-28 5:01,1,0.083,0.083
0,2011-12-28 5:01,3,0.0109,0.0109
60,2011-12-28 5:02,3,0.0087,0.0087
1562,2011-12-28 5:28,3,0.0039,0.0039
601,2011-12-28 5:38,3,0.0044,0.0044
360,2011-12-28 5:44,3,0.0028,0.0028
841,2011-12-28 5:58,3,0.0034,0.0034
60,2011-12-28 5:59,3,0.004,0.004
241,2011-12-28 6:03,3,0.0029,0.0029
1442,2011-12-28 6:27,3,0.0034,0.0034
0,2011-12-28 6:27,1,0.0768,0.0768
